;City;Price [PLN];Price/sqr_meter [PLN];Area [m^2];Rooms;Level
7137;Cracow;468000.0;11812.0;39.62;1.0;2.0
7138;Cracow;482000.0;13771.0;35.0;2.0;0.0
7140;Cracow;812500.0;12500.0;65.0;4.0;0.0
7290;Cracow;399000.0;12950.0;30.81;2.0;7.0
7291;Cracow;664500.0;13492.0;49.25;3.0;0.0
7292;Cracow;729000.0;12513.0;58.26;3.0;3.0
6999;Cracow;998240.0;15800.0;63.18;3.0;4.0
6998;Cracow;460000.0;11500.0;40.0;2.0;1.0
6997;Cracow;650000.0;18056.0;36.0;2.0;4.0
6996;Cracow;699000.0;14265.0;49.0;2.0;1.0
6995;Cracow;514000.0;10219.0;50.3;2.0;2.0
6994;Cracow;580000.0;11600.0;50.0;2.0;2.0
6993;Cracow;800000.0;12600.0;63.49;3.0;3.0
6992;Cracow;631296.0;14348.0;44.0;2.0;3.0
6991;Cracow;695000.0;10434.0;66.61;4.0;3.0
6990;Cracow;670000.0;10099.0;66.34;3.0;2.0
7000;Cracow;649000.0;11581.0;56.04;3.0;3.0
6989;Cracow;460000.0;10455.0;44.0;1.0;0.0
6987;Cracow;490000.0;20307.0;24.13;1.0;5.0
6986;Cracow;725900.0;11900.0;61.0;2.0;4.0
6985;Cracow;1071240.0;22600.0;47.4;2.0;4.0
6984;Cracow;785000.0;19959.0;39.33;2.0;0.0
6983;Cracow;390000.0;8870.0;43.97;2.0;1.0
6982;Cracow;528000.0;12986.0;40.66;3.0;4.0
6981;Cracow;499000.0;14257.0;35.0;1.0;1.0
6980;Cracow;1790000.0;16273.0;110.0;4.0;1.0
6979;Cracow;570000.0;14394.0;39.6;2.0;0.0
6978;Cracow;528000.0;12986.0;40.66;2.0;4.0
6988;Cracow;620000.0;10164.0;61.0;3.0;1.0
7001;Cracow;590000.0;12553.0;47.0;2.0;5.0
7003;Cracow;555000.0;9737.0;57.0;2.0;1.0
7004;Cracow;998340.0;10500.0;95.08;4.0;2.0
7027;Cracow;471000.0;11000.0;42.82;2.0;4.0
7026;Cracow;610000.0;10893.0;56.0;5.0;8.0
7025;Cracow;479900.0;12462.0;38.51;2.0;5.0
7024;Cracow;740000.0;8991.0;82.3;4.0;3.0
7023;Cracow;599000.0;9553.0;62.7;3.0;2.0
7022;Cracow;367000.0;12025.0;30.52;2.0;1.0
7021;Cracow;499000.0;12646.0;39.46;2.0;3.0
7020;Cracow;699000.0;10130.0;69.0;3.0;3.0
7019;Cracow;590000.0;12688.0;46.5;2.0;5.0
7018;Cracow;695000.0;8709.0;79.8;3.0;3.0
7017;Cracow;3690000.0;29574.0;124.77;4.0;2.0
7016;Cracow;469000.0;9771.0;48.0;2.0;5.0
7015;Cracow;448000.0;10095.0;44.38;2.0;4.0
7014;Cracow;1069000.0;17195.0;62.17;3.0;3.0
7013;Cracow;429000.0;11753.0;36.5;1.0;4.0
7012;Cracow;619900.0;11389.0;54.43;3.0;3.0
7011;Cracow;545265.0;13500.0;40.39;2.0;2.0
7010;Cracow;247250.0;11500.0;21.5;1.0;1.0
7009;Cracow;728000.0;13984.0;52.06;2.0;0.0
7008;Cracow;444000.0;9978.0;44.5;3.0;7.0
7007;Cracow;510000.0;8789.0;58.03;2.0;2.0
7006;Cracow;645517.0;8900.0;72.53;2.0;0.0
7005;Cracow;630000.0;8182.0;77.0;4.0;1.0
6977;Cracow;599000.0;10239.0;58.5;3.0;4.0
6976;Cracow;990000.0;16500.0;60.0;3.0;2.0
6974;Cracow;630000.0;10500.0;60.0;3.0;0.0
6973;Cracow;1070000.0;15440.0;69.3;3.0;1.0
6946;Cracow;528000.0;8964.0;58.9;4.0;3.0
6945;Cracow;440000.0;11579.0;38.0;2.0;5.0
6944;Cracow;999000.0;31785.0;31.43;1.0;1.0
6943;Cracow;429000.0;12153.0;35.3;2.0;3.0
6942;Cracow;399000.0;10281.0;38.81;2.0;0.0
6941;Cracow;415000.0;12012.0;34.55;2.0;2.0
6940;Cracow;1700000.0;16190.0;105.0;3.0;3.0
6939;Cracow;975000.0;15558.0;62.67;3.0;0.0
6938;Cracow;640000.0;8312.0;77.0;4.0;0.0
6937;Cracow;290375.0;11500.0;25.25;1.0;5.0
6936;Cracow;399000.0;11148.0;35.79;2.0;3.0
6935;Cracow;678000.0;15000.0;45.2;2.0;3.0
6934;Cracow;640000.0;11963.0;53.5;2.0;1.0
6933;Cracow;1190000.0;16528.0;72.0;3.0;3.0
6929;Cracow;530000.0;9985.0;53.08;3.0;0.0
6928;Cracow;483000.0;7790.0;62.0;3.0;1.0
6927;Cracow;720000.0;10588.0;68.0;3.0;4.0
6926;Cracow;1740000.0;13733.0;126.7;5.0;1.0
6925;Cracow;899000.0;18362.0;48.96;2.0;0.0
6924;Cracow;320000.0;10000.0;32.0;1.0;0.0
6923;Cracow;579900.0;11847.0;48.95;2.0;3.0
6922;Cracow;529000.0;11021.0;48.0;3.0;3.0
6921;Cracow;560000.0;10626.0;52.7;2.0;0.0
6947;Cracow;575000.0;12131.0;47.4;2.0;0.0
7028;Cracow;865000.0;13674.0;63.26;4.0;2.0
6948;Cracow;710000.0;9435.0;75.25;3.0;5.0
6950;Cracow;1400000.0;14433.0;97.0;3.0;1.0
6972;Cracow;899000.0;15473.0;58.1;3.0;3.0
6971;Cracow;1200000.0;17021.0;70.5;3.0;1.0
6970;Cracow;460000.0;11358.0;40.5;2.0;4.0
6969;Cracow;552000.0;11500.0;48.0;3.0;3.0
6968;Cracow;525000.0;13856.0;37.89;2.0;0.0
6967;Cracow;329000.0;8989.0;36.6;2.0;1.0
6966;Cracow;699000.0;13938.0;50.15;2.0;4.0
6965;Cracow;781150.0;8500.0;91.9;4.0;1.0
6964;Cracow;299000.0;13591.0;22.0;1.0;-0.5
6963;Cracow;669000.0;12339.0;54.22;2.0;1.0
6745;Cracow;409000.0;8020.0;51.0;3.0;3.0
6962;Cracow;919000.0;15143.0;60.69;3.0;1.0
6961;Cracow;590000.0;12041.0;49.0;2.0;1.0
6960;Cracow;599000.0;11519.0;52.0;2.0;4.0
6959;Cracow;509000.0;17552.0;29.0;1.0;3.0
6958;Cracow;880000.0;14915.0;59.0;3.0;3.0
6957;Cracow;628311.0;10950.0;57.38;3.0;0.0
6956;Cracow;450000.0;12531.0;35.91;2.0;0.0
6955;Cracow;769000.0;12864.0;59.78;3.0;0.0
6954;Cracow;710000.0;11085.0;64.05;3.0;9.0
